date;fond;pret;espece;compte_momo;compte2;frais_transfert;commission;statut;created_at;updated_at
2019-03-15;200000;0;154500;3650;42892;0;23753;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-16;200000;0;180500;2650;17792;100;23756;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-17;200000;0;183100;50;17792;0;23897;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-18;200000;0;183000;2050;15667;50;23913;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-19;200000;0;190175;6050;4617;50;23951;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-20;200000;0;94525;52050;54882;0;24365;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-21;200000;0;70575;106550;24232;100;24656;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-22;200000;50000;73375;108200;70132;50;24843;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-23;200000;0;119225;62200;70032;100;24968;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-24;200000;0;66925;114700;70032;0;25323;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-25;200000;-50000;95275;106600;82;0;25507;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-26;200000;0;188525;12500;82;0;25741;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-27;200000;0;173025;28000;82;0;25859;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-28;250000;50000;88925;82650;131632;0;26359;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-29;250000;0;191400;110275;1482;50;26788;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-30;250000;0;302000;675;432;50;27607;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-03-31;250000;-10000;292000;675;432;0;27607;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-01;250000;400;209500;83675;282;50;28534;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-02;250000;0;260200;32975;282;0;29182;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-03;250000;0;267650;25475;282;0;29256;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-04;250000;-4700;94250;194275;182;0;30048;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-05;250000;-1775;52425;233925;182;0;30296;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-06;250000;-33700;38125;214611;182;0;30487;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-07;250000;0;40625;212111;182;0;30571;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-08;250000;350;121975;131111;182;0;31452;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-09;250000;-3000;124975;125211;82;0;31498;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-10;250000;0;215975;33861;182;0;31893;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-11;250000;800;237625;13061;180;0;32112;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-12;250000;900;246700;4891;182;0;32239;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-13;250000;12425;243325;20691;182;0;32355;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-14;250000;5000;90525;178391;182;0;33110;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-15;250000;5000;61025;212891;182;0;33363;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-16;250000;800;83225;191491;182;0;33570;1;"2019-04-18 20:25:27";"2019-04-18 20:25:27"
2019-04-17;250000;-1200;271825;1691;182;0;34872;1;"2019-04-19 08:30:24";"2019-04-19 08:30:24"
2019-04-18;250000;-1200;270675;1591;182;0;34961;1;"2019-04-19 09:13:05";"2019-04-19 10:13:33"
2019-04-19;250000;-12700;197575;56991;182;0;35297;1;"2019-04-19 18:12:09";"2019-04-19 19:18:54"
2019-04-20;250000;50000;7125;82491;222582;0;35453;1;"2019-04-20 19:16:00";"2019-04-20 19:16:00"
2019-04-21;250000;-5100;7125;77391;222582;0;35453;1;"2019-04-22 20:08:34";"2019-04-22 21:12:09"
2019-04-22;250000;-50250;239425;17291;32;100;35611;1;"2019-04-22 19:57:54";"2019-04-22 21:14:33"
2019-04-23;250000;-2850;238700;15091;32;0;35625;1;"2019-04-23 20:37:32";"2019-04-23 20:37:32"
2019-04-24;250000;0;236050;15691;82;0;35713;1;"2019-04-24 19:31:16";"2019-04-25 21:20:18"
2019-04-25;250000;50;141300;110491;82;0;36243;1;"2019-04-25 19:41:40";"2019-04-25 21:17:58"
