date;type;nombre;prix_unitaire
18/02/2019;1;2;1000
20/02/2019;1;2;1000
22/02/2019;1;1;1000
03/03/2019;1;1;1000
03/03/2019;2;1;300
04/03/2019;1;2;1000
06/03/2019;1;2;1000
07/03/2019;1;4;1000
09/03/2019;1;2;1000
14/03/2019;1;1;1000
15/03/2019;1;1;1000
18/03/2019;1;1;1000
22/03/2019;1;2;1000
24/03/2019;1;1;1000
25/03/2019;1;1;1000
31/03/2019;1;1;900
