date;type;nombre;prix_unitaire;statut;created_at;updated_at
2019-05-29;1;1;1000;1;"2019-05-29 20:10:34";"2019-05-29 20:10:34"
2019-05-27;1;3;1000;1;"2019-05-27 20:36:02";"2019-05-27 20:36:02"
2019-05-24;1;1;1000;1;"2019-05-24 20:43:39";"2019-05-24 20:43:39"
2019-05-18;1;1;1000;1;"2019-05-18 21:53:16";"2019-05-18 21:53:16"
2019-05-17;1;3;1000;1;"2019-05-18 06:17:28";"2019-05-18 06:17:28"
2019-05-17;2;2;300;1;"2019-05-18 06:17:12";"2019-05-18 06:17:12"
2019-05-16;2;11;300;1;"2019-05-18 06:16:54";"2019-05-18 06:16:54"
2019-05-13;1;3;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-05-07;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-05-06;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-05-04;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-05-02;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-29;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-27;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-22;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-20;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-18;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-16;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-11;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-09;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-04-03;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-31;1;1;900;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-25;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-24;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-22;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-18;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-15;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-14;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-09;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-07;1;4;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-06;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-04;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-03;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-03-03;2;1;300;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-02-22;1;1;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-02-20;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
2019-02-18;1;2;1000;1;"2019-05-17 05:34:03";"2019-05-17 05:34:03"
