user_id;message_id;statut;created_at;updated_at
4;1;0;"2019-04-30 00:41:29";"2019-04-30 00:41:29"
3;1;1;"2019-04-30 00:41:29";"2019-04-30 00:42:16"
2;1;1;"2019-04-30 00:41:29";"2019-04-30 08:30:28"
