user_id;message_id;statut;created_at;updated_at
2;1;0;"2019-06-04 02:39:45";"2019-06-04 02:39:45"
3;1;0;"2019-06-04 02:39:45";"2019-06-04 02:39:45"
4;1;0;"2019-06-04 02:39:45";"2019-06-04 02:39:45"
